Force
4.1195
4.7045
5.2737
7.0946
8.5905
9.5823
9.9927
9.8582
9.3169
8.5782
7.8784
7.4338
7.3986
7.8376
8.717
9.9147
11.249
12.513
13.525
14.152
14.342
14.128
13.621
12.98
12.386
11.998
11.928
12.22
12.843
14.681
15.92
16.664
16.715
16.114
15.129
14.161
13.602
13.701
14.469
15.686
16.968
17.908
18.218
17.829
16.915
15.835
15.002
14.744
15.183
16.197
17.46
18.557
19.13
19.007
18.254
17.161
16.136
15.561
15.66
16.419
17.593
18.787
19.602
19.769
19.246
18.234
17.104
16.267
16.033
16.497
17.51
18.73
19.741
20.199
19.955
19.106
17.96
16.931
16.389
16.534
17.324
18.49
19.632
20.355
20.414
19.796
18.725
17.584
16.78
16.601
17.117
18.152
19.348
20.29
20.654
20.316
19.399
18.231
17.225
16.74
16.949
17.784
18.953
20.052
20.696
20.665
19.97
18.86
17.728
16.973
16.864
17.44
18.504
19.683
20.565
20.844
20.423
19.452
18.275
17.305
16.887
17.168
18.051
19.229
20.288
20.859
20.742
19.98
18.842
17.728
17.031
16.997
17.639
18.732
19.894
20.718
20.916
20.418
19.4
18.222
17.296
16.949
17.304
18.238
19.422
20.442
20.94
20.741
19.918
18.758
17.669
17.035
17.079
17.785
18.907
20.05
20.813
20.93
20.36
19.302
18.13
17.255
16.984
17.414
18.392
19.577
20.552
20.975
20.645
17.77
12.863
7.6468
3.9548
3.0827
5.3366
9.9254
15.238
19.408
20.973
19.383
15.196
9.8839
5.3109
3.0834
3.9834
7.6951
12.915
17.811
20.663
20.471
17.301
12.268
7.137
3.7119
3.1947
5.7674
10.527
15.801
19.74
20.958
19.03
14.631
9.3057
4.9251
3.0268
4.2779
8.2394
13.52
18.267
20.812
20.262
16.809
11.666
6.6386
3.4923
3.3322
6.2149
11.128
16.348
20.041
20.91
18.649
14.052
8.7332
4.5597
2.9989
4.5984
8.7957
14.117
18.693
20.919
20.011
16.291
11.064
6.1663
3.3171
3.5165
6.6943
11.734
16.867
20.289
20.8
18.222
13.458
8.1826
4.2479
3.0352
4.9702
9.3731
14.698
19.075
20.967
19.71
15.746
10.467
5.7254
3.1876
3.744
7.1992
12.34
17.361
20.5
20.653
17.768
12.858
7.6456
3.9624
3.1014
5.365
9.9584
15.269
19.432
20.985
19.383
15.188
9.8737
5.3055
3.0876
3.9991
7.7201
12.945
17.837
20.681
20.476
17.295
12.254
7.1231
3.704
3.1976
5.7823
10.551
15.828
19.763
20.972
19.03
14.619
9.288
4.908
3.0177
4.2814
