68337,1.51103,1.20339
67116,1.50783,1.20663
65896,1.51059,1.21005
64675,1.51779,1.21328
63397,1.52819,1.21674
62030,1.52563,1.22018
60663,1.52676,1.22342
59297,1.5338,1.22683
58530,1.5322,1.23016
58965,1.54347,1.23352
59400,1.54046,1.23669
59835,1.54377,1.24007
60332,1.5526,1.24329
60997,1.55961,1.24664
61661,1.56564,1.24991
62326,1.56454,1.25342
62783,1.57138,1.25683
62454,1.5691,1.26002
62124,1.58194,1.26344
61794,1.5874,1.26683
61413,1.58611,1.27011
60736,1.59736,1.27351
60060,1.5921,1.27682
59383,1.60221,1.27998
58761,1.60859,1.28331
58744,1.60987,1.28667
58727,1.61208,1.29009
58711,1.62599,1.29343
58703,1.62867,1.29669
59109,1.63363,1.30005
59514,1.63842,1.30341
59920,1.64445,1.30669
60325,1.64392,1.31014
59670,1.64849,1.31344
58971,1.66231,1.31675
58271,1.66286,1.31999
57571,1.66932,1.32332
57255,1.66964,1.32673
56982,1.67694,1.32996
56710,1.67733,1.33334
56437,1.68416,1.3368
55399,1.69336,1.34013
54210,1.69173,1.34338
53021,1.69727,1.34683
51832,1.69533,1.35008
51504,1.70885,1.35344
51430,1.7089,1.35674
51356,1.71808,1.36011
51281,1.71858,1.36347
50916,1.72634,1.36663
50432,1.72902,1.37003
49949,1.7243,1.37343
49465,1.74088,1.37669
49972,1.7308,1.38003
51016,1.74446,1.38342
52061,1.74663,1.38666
53106,1.75637,1.39002
53370,1.75964,1.3933
53080,1.76315,1.39682
52791,1.77164,1.40012
52502,1.76875,1.40336
52303,1.77871,1.40676
52187,1.77837,1.41014
52072,1.78772,1.41334
51956,1.78781,1.41674
51800,1.78893,1.4201
51597,1.80183,1.42333
51393,1.80274,1.4267
51190,1.81305,1.42997
51105,1.80914,1.43341
51196,1.81255,1.43677
51286,1.82243,1.44019
51377,1.82325,1.44354
51323,1.83704,1.44677
50982,1.84007,1.44998
50641,1.84335,1.45344
50300,1.85047,1.45679
49777,1.85719,1.46009
48774,1.86019,1.46341
47770,1.87283,1.46666
46766,1.8725,1.47012
45817,1.87574,1.47339
45071,1.87582,1.47682
44325,1.88435,1.4802
43579,1.88493,1.48339
42946,1.8868,1.48666
42951,1.89755,1.49001
42957,1.90071,1.49327
42962,1.90833,1.49668
42973,1.90582,1.49995
43036,1.91175,1.50337
43099,1.92038,1.50674
43162,1.92517,1.51001
43220,1.92674,1.51341
43058,1.92807,1.51683
42896,1.93758,1.52006
42734,1.94039,1.52353
42573,1.94088,1.52682
42671,1.95138,1.52998
42780,1.95225,1.53332
42889,1.95533,1.5366
42998,1.96184,1.54002
43098,1.97077,1.54332
